Sample,Sample_name,Sample_id,Stage,Site,Rotation,Replicate,Microhabitat,Rot_Comp,Year,Stage_Rep,Stage_Loc,Stage_Comp,Stage_Rot_Comp,Stage_Rot,Season,Site_year
GT2WMRAR2,GoT2WMRA,Go029,T2,Go,WM,WMb,RA,WM_RA,Y2020,T2_WMb,T2_Go,T2_RA,T2_WM_RA,T2_WM,Dry,Go_2020
GT2WMRAR3,GoT2WMRA,Go030,T2,Go,WM,WMc,RA,WM_RA,Y2020,T2_WMc,T2_Go,T2_RA,T2_WM_RA,T2_WM,Dry,Go_2020
GT2WMRHR1,GoT2WMRH,Go031,T2,Go,WM,WMa,RH,WM_RH,Y2020,T2_WMa,T2_Go,T2_RH,T2_WM_RH,T2_WM,Dry,Go_2020
GT2WMRHR2,GoT2WMRH,Go032,T2,Go,WM,WMb,RH,WM_RH,Y2020,T2_WMb,T2_Go,T2_RH,T2_WM_RH,T2_WM,Dry,Go_2020
GT2WMRHR3,GoT2WMRH,Go033,T2,Go,WM,WMc,RH,WM_RH,Y2020,T2_WMc,T2_Go,T2_RH,T2_WM_RH,T2_WM,Dry,Go_2020
GT2WMRPR1,GoT2WMRP,Go034,T2,Go,WM,WMa,RP,WM_RP,Y2020,T2_WMa,T2_Go,T2_RP,T2_WM_RP,T2_WM,Dry,Go_2020
GT2WMRPR2,GoT2WMRP,Go035,T2,Go,WM,WMb,RP,WM_RP,Y2020,T2_WMb,T2_Go,T2_RP,T2_WM_RP,T2_WM,Dry,Go_2020
GT2WMRPR3,GoT2WMRP,Go036,T2,Go,WM,WMc,RP,WM_RP,Y2020,T2_WMc,T2_Go,T2_RP,T2_WM_RP,T2_WM,Dry,Go_2020
GT3W1BSR1,GoT3W1BS,Go037,T3,Go,W1,W1a,BS,W1_BS,Y2020,T3_W1a,T3_Go,T3_BS,T3_W1_BS,T3_W1,Dry,Go_2020
GT3W1BSR2,GoT3W1BS,Go038,T3,Go,W1,W1b,BS,W1_BS,Y2020,T3_W1b,T3_Go,T3_BS,T3_W1_BS,T3_W1,Dry,Go_2020
GT3W1BSR3,GoT3W1BS,Go039,T3,Go,W1,W1c,BS,W1_BS,Y2020,T3_W1c,T3_Go,T3_BS,T3_W1_BS,T3_W1,Dry,Go_2020
GT3W1RAR1,GoT3W1RA,Go040,T3,Go,W1,W1a,RA,W1_RA,Y2020,T3_W1a,T3_Go,T3_RA,T3_W1_RA,T3_W1,Dry,Go_2020
GT3W1RAR2,GoT3W1RA,Go041,T3,Go,W1,W1b,RA,W1_RA,Y2020,T3_W1b,T3_Go,T3_RA,T3_W1_RA,T3_W1,Dry,Go_2020
GT3W1RAR3,GoT3W1RA,Go042,T3,Go,W1,W1c,RA,W1_RA,Y2020,T3_W1c,T3_Go,T3_RA,T3_W1_RA,T3_W1,Dry,Go_2020
GT3W1RHR1,GoT3W1RH,Go043,T3,Go,W1,W1a,RH,W1_RH,Y2020,T3_W1a,T3_Go,T3_RH,T3_W1_RH,T3_W1,Dry,Go_2020
GT3W1RHR2,GoT3W1RH,Go044,T3,Go,W1,W1b,RH,W1_RH,Y2020,T3_W1b,T3_Go,T3_RH,T3_W1_RH,T3_W1,Dry,Go_2020
GT3W1RHR3,GoT3W1RH,Go045,T3,Go,W1,W1c,RH,W1_RH,Y2020,T3_W1c,T3_Go,T3_RH,T3_W1_RH,T3_W1,Dry,Go_2020
GT3W1RPR1,GoT3W1RP,Go046,T3,Go,W1,W1a,RP,W1_RP,Y2020,T3_W1a,T3_Go,T3_RP,T3_W1_RP,T3_W1,Dry,Go_2020
GT3W1RPR2,GoT3W1RP,Go047,T3,Go,W1,W1b,RP,W1_RP,Y2020,T3_W1b,T3_Go,T3_RP,T3_W1_RP,T3_W1,Dry,Go_2020
GT3W1RPR3,GoT3W1RP,Go048,T3,Go,W1,W1c,RP,W1_RP,Y2020,T3_W1c,T3_Go,T3_RP,T3_W1_RP,T3_W1,Dry,Go_2020
GT3W2BSR1,GoT3W2BS,Go049,T3,Go,W2,W2a,BS,W2_BS,Y2020,T3_W2a,T3_Go,T3_BS,T3_W2_BS,T3_W2,Dry,Go_2020
GT3W2BSR2,GoT3W2BS,Go050,T3,Go,W2,W2b,BS,W2_BS,Y2020,T3_W2b,T3_Go,T3_BS,T3_W2_BS,T3_W2,Dry,Go_2020
GT3W2BSR3,GoT3W2BS,Go051,T3,Go,W2,W2c,BS,W2_BS,Y2020,T3_W2c,T3_Go,T3_BS,T3_W2_BS,T3_W2,Dry,Go_2020
GT3W2RAR1,GoT3W2RA,Go052,T3,Go,W2,W2a,RA,W2_RA,Y2020,T3_W2a,T3_Go,T3_RA,T3_W2_RA,T3_W2,Dry,Go_2020
GT3W2RAR2,GoT3W2RA,Go053,T3,Go,W2,W2b,RA,W2_RA,Y2020,T3_W2b,T3_Go,T3_RA,T3_W2_RA,T3_W2,Dry,Go_2020
GT3W2RAR3,GoT3W2RA,Go054,T3,Go,W2,W2c,RA,W2_RA,Y2020,T3_W2c,T3_Go,T3_RA,T3_W2_RA,T3_W2,Dry,Go_2020
GT3W2RHR1,GoT3W2RH,Go055,T3,Go,W2,W2a,RH,W2_RH,Y2020,T3_W2a,T3_Go,T3_RH,T3_W2_RH,T3_W2,Dry,Go_2020
GT3W2RHR2,GoT3W2RH,Go056,T3,Go,W2,W2b,RH,W2_RH,Y2020,T3_W2b,T3_Go,T3_RH,T3_W2_RH,T3_W2,Dry,Go_2020
GT3W2RHR3,GoT3W2RH,Go057,T3,Go,W2,W2c,RH,W2_RH,Y2020,T3_W2c,T3_Go,T3_RH,T3_W2_RH,T3_W2,Dry,Go_2020
GT3W2RPR1,GoT3W2RP,Go058,T3,Go,W2,W2a,RP,W2_RP,Y2020,T3_W2a,T3_Go,T3_RP,T3_W2_RP,T3_W2,Dry,Go_2020
GT3W2RPR2,GoT3W2RP,Go059,T3,Go,W2,W2b,RP,W2_RP,Y2020,T3_W2b,T3_Go,T3_RP,T3_W2_RP,T3_W2,Dry,Go_2020
GT3W2RPR3,GoT3W2RP,Go060,T3,Go,W2,W2c,RP,W2_RP,Y2020,T3_W2c,T3_Go,T3_RP,T3_W2_RP,T3_W2,Dry,Go_2020
GT3WMBSR1,GoT3WMBS,Go061,T3,Go,WM,WMa,BS,WM_BS,Y2020,T3_WMa,T3_Go,T3_BS,T3_WM_BS,T3_WM,Dry,Go_2020
GT3WMBSR2,GoT3WMBS,Go062,T3,Go,WM,WMb,BS,WM_BS,Y2020,T3_WMb,T3_Go,T3_BS,T3_WM_BS,T3_WM,Dry,Go_2020
